Date,Campaign ID,Keyword,Cost,CPC
2021-12-05,14832003666,numero TvCO,-1055318,1141.91
2021-10-22,14832003666,TvCO plan hogar,-1051541,2232.1
2021-10-14,1646440683,internet hogar TvCO,-1051834,3329.9
2021-10-29,1646440683,internet TvCO,-1053102,3139
2021-09-18,1646440648,planes TvCO hogar,-1053811,2118.11
2021-10-08,1646440683,TvCO tv,-1058284,1242.91
2021-09-21,1646440683,TvCO internet,-1058555,1114.14
2021-10-13,14832003666,planes hogar TvCO,-1052120,2233.98
2021-09-28,1646440683,internet TvCO,-1052352,2112.93
2021-11-24,1646440683,TvCO tv,-1052323,2020.83
2021-09-12,1646440648,planes TvCO hogar,-1010182,2182.23
2021-09-19,1646440648,planes TvCO hogar,-1011013,2138.14
2021-09-22,1646440683,TvCO internet,-1011114,1280.98
2021-10-02,1646440683,internet TvCO,-1013381,2148.2
2021-10-14,14832003666,planes hogar TvCO,-1015442,2422.39
2021-10-26,1646440683,internet TvCO hogar,-1015841,4221.48
2021-12-08,1646440683,TvCO internet,-1015851,1322.13
2021-10-29,1646440683,internet hogar TvCO,-1015222,1330.32
2021-10-09,1646440683,internet hogar TvCO,-1018832,4012.2
2021-10-28,1646440683,internet TvCO,-1018253,3309.31
2021-09-29,1646440683,internet hogar TvCO,-1012338,3291.93
2021-09-12,1646440683,internet TvCO,-1012313,2139.03
2021-09-04,1646440648,planes TvCO hogar,-1031318,1943.34
2021-09-02,1646440648,planes hogar TvCO,-1032214,2912.14
2021-10-03,1646440683,TvCO tv,-1033120,1823.1
2021-11-05,1646440683,internet TvCO,-1034841,1401.81
2021-09-05,1646440683,TvCO tv,-1035522,1399.43
2021-10-03,1646440683,internet hogar TvCO,-1035100,3930.22
2021-09-23,1646440683,TvCO internet,-1031811,1893.84
2021-12-19,1646440683,TvCO internet,-1031221,1292.3
2021-12-29,1646440683,televisión TvCO hogar,-1033301,2288.04
2021-10-13,1646440683,TvCO tv,-1033535,1232.23
2021-09-03,1646440683,TvCO tv,-1038124,2183.09
2021-11-28,14832003666,numero TvCO,-1038321,1910.21
2021-09-08,1646440683,TvCO internet hogar precios,-1032850,4421.04
2021-10-06,1646440648,planes hogar TvCO,-1080032,2203.32
2021-10-07,1646440648,planes hogar TvCO,-1080283,3012.2
2021-09-10,1646440683,TvCO internet hogar precios,-1081313,4242.2
2021-10-15,14832003666,planes hogar TvCO,-1082321,2133.99
2021-09-24,1646440683,TvCO internet,-1082228,1821.19
2021-09-27,1646440683,internet TvCO,-1083123,3031.13
2021-09-07,1646440683,TvCO television,-1084035,3423.84
2021-10-05,1646440648,planes hogar TvCO,-1084113,3143.11
2021-10-30,1646440683,internet TvCO,-1084431,4021.24
2021-10-03,1646440683,internet TvCO,-1084500,2284.3
2021-09-18,1646440683,TvCO internet,-1084120,2391.34
2021-10-01,1646440683,internet TvCO,-1085111,2991.11
2021-10-22,1646440683,internet TvCO,-1085311,2233.4
2021-11-03,1646440683,TvCO tv,-1085843,1993.21
2021-12-01,1646440683,TvCO tv,-1081235,2214.23
2021-10-23,1646440683,internet TvCO hogar,-1081842,4411.02
2021-12-05,1646440683,TvCO internet,-1081833,1910.01
2021-11-21,1646440683,televisión TvCO hogar,-1081820,2182.23
2021-10-10,14832003666,TvCO hogar planes,-1083010,2382.14
2021-10-13,14832003666,planes TvCO hogar,-1083308,1882.21
2021-09-02,14343103484,expansor de señal wifi,-1088085,4811.44
2021-09-07,14343103484,expansor de señal wifi,-1088240,1928.12
2021-11-04,1646440683,televisión TvCO hogar,-1082152,4908.98
2021-09-15,1646440683,TvCO internet hogar precios,-1082305,4231.1
2021-09-06,1646440683,TvCO television,-1082323,3209.39
2021-11-04,1646440683,TvCO tv,-1020323,2332.31
2021-10-09,1646440683,internet TvCO,-1020352,2282.32
